Received_Time_ms;Send_Time_ms;Delay_ms;Furnace_ID;Seq_Num;Payload_Bytes
1761895478641;1761920691000;-25212359;furnace2;559;54
1761895480013;1761920692000;-25211987;furnace2;563;50
1761895480142;1761920692000;-25211858;furnace2;564;54
1761895481540;1761920694000;-25212460;furnace2;568;50
1761895481661;1761920694000;-25212339;furnace2;569;54
1761895483036;1761920695000;-25211964;furnace2;573;50
1761895483166;1761920695000;-25211834;furnace2;574;54
1761895484581;1761920697000;-25212419;furnace2;578;50
1761895484688;1761920697000;-25212312;furnace2;579;54
1761895486074;1761920698000;-25211926;furnace2;583;50
1761895486388;1761920698000;-25211612;furnace2;584;54
1761895487580;1761920700000;-25212420;furnace2;588;50
1761895487707;1761920700000;-25212293;furnace2;589;54
1761895489098;1761920701000;-25211902;furnace2;593;50
1761895489229;1761920701000;-25211771;furnace2;594;54
1761895490611;1761920703000;-25212389;furnace2;598;50
1761895490735;1761920703000;-25212265;furnace2;599;54
1761895492121;1761920704000;-25211879;furnace2;603;50
1761895492252;1761920704000;-25211748;furnace2;604;54
1761895493639;1761920706000;-25212361;furnace2;608;50
1761895493849;1761920706000;-25212151;furnace2;609;54
1761895495605;1761920707000;-25211395;furnace2;613;50
1761895495605;1761920707000;-25211395;furnace2;614;54
1761895503388;1761920716000;-25212612;furnace2;618;50
1761895503518;1761920716000;-25212482;furnace2;619;54
1761895504909;1761920717000;-25212091;furnace2;623;50
1761895505037;1761920717000;-25211963;furnace2;624;54
1761895506437;1761920719000;-25212563;furnace2;628;50
1761895506560;1761920719000;-25212440;furnace2;629;54
1761895507943;1761920720000;-25212057;furnace2;633;50
1761895508065;1761920720000;-25211935;furnace2;634;54
1761895509416;1761920722000;-25212584;furnace2;638;52
1761895509588;1761920722000;-25212412;furnace2;639;56
1761895510928;1761920723000;-25212072;furnace2;643;52
1761895511051;1761920723000;-25211949;furnace2;644;56
1761895512562;1761920725000;-25212438;furnace2;648;52
1761895512590;1761920725000;-25212410;furnace2;649;56
1761895513958;1761920726000;-25212042;furnace2;653;52
1761895514322;1761920726000;-25211678;furnace2;654;56
1761895515461;1761920728000;-25212539;furnace2;658;52
1761895515597;1761920728000;-25212403;furnace2;659;56
1761895516986;1761920729000;-25212014;furnace2;663;52
1761895517126;1761920729000;-25211874;furnace2;664;56
1761895518500;1761920731000;-25212500;furnace2;668;52
1761895518634;1761920731000;-25212366;furnace2;669;56
1761895520018;1761920732000;-25211982;furnace2;673;52
1761895520151;1761920732000;-25211849;furnace2;674;56
1761895521531;1761920734000;-25212469;furnace2;678;52
1761895521665;1761920734000;-25212335;furnace2;679;56
1761895524281;1761920735000;-25210719;furnace2;683;52
1761895524281;1761920735000;-25210719;furnace2;684;56
1761895524628;1761920737000;-25212372;furnace2;688;52
1761895525482;1761920737000;-25211518;furnace2;689;56
1761895526210;1761920738000;-25211790;furnace2;693;52
1761895526508;1761920738000;-25211492;furnace2;694;56
1761895527706;1761920740000;-25212294;furnace2;698;52
1761895527960;1761920740000;-25212040;furnace2;699;56
1761895529123;1761920741000;-25211877;furnace2;703;52
1761895529396;1761920741000;-25211604;furnace2;704;56
1761895532181;1761920743000;-25210819;furnace2;708;52
1761895532185;1761920743000;-25210815;furnace2;709;56
1761895535616;1761920744000;-25208384;furnace2;713;52
1761895535617;1761920744000;-25208383;furnace2;714;56
1761895538818;1761920746000;-25207182;furnace2;718;52
1761895538819;1761920746000;-25207181;furnace2;719;56
1761895561936;1761920747000;-25185064;furnace2;723;52
1761895561938;1761920750000;-25188062;furnace2;733;52
1761895561939;1761920747000;-25185061;furnace2;724;56
1761895561943;1761920750000;-25188057;furnace2;734;56
1761895561940;1761920749000;-25187060;furnace2;729;56
1761895561945;1761920752000;-25190055;furnace2;739;56
